year,month,location,chlorophyll,temp
2015,10,Santa Monica Pier,NaN,20.5
2015,10,Stearns Wharf,0.64,20.4
2015,10,Newport Pier,1.07,21
2015,10,Scripps Pier,0.61,22.2
2015,10,Cal Poly Pier,3.78,17.8
2015,10,Monterey Wharf,7.54,17.64
2015,10,Santa Cruz Wharf,3.58,17.8
2015,11,Santa Monica Pier,NaN,19
2015,11,Newport Pier,0.87,21.1
2015,11,Scripps Pier,0.88,20.9
2015,11,Stearns Wharf,0.66,18.8
2015,11,Cal Poly Pier,2.72,16.1
2015,11,Monterey Wharf,7.01,15.87
2015,11,Santa Cruz Wharf,1.79,14.8
2015,11,Santa Monica Pier,NaN,17
2015,11,Stearns Wharf,0.79,17.3
2015,11,Newport Pier,0.53,19.6
2015,11,Scripps Pier,0.5,19.7
2015,11,Cal Poly Pier,6.96,15.4
2015,11,Santa Cruz Wharf,3.22,13.3
2015,11,Monterey Wharf,6.37,14.44
2015,11,Santa Monica Pier,NaN,17
2015,11,Stearns Wharf,0.75,15.4
2015,11,Scripps Pier,0.71,18
2015,11,Cal Poly Pier,1.19,14.5
2015,11,Cal Poly Pier,1.19,14.5
2015,11,Newport Pier,2.05,16
2015,11,Santa Cruz Wharf,1.56,13.7
2015,11,Santa Monica Pier,NaN,16
2015,11,Stearns Wharf,0.79,16.4
2015,11,Cal Poly Pier,2.86,14.5
2015,11,Newport Pier,0.7,19.5
2015,11,Scripps Pier,0.72,19.5
2015,11,Monterey Wharf,16.82,13.95
2015,11,Santa Cruz Wharf,3.52,11.4
2015,11,Stearns Wharf,0.61,16.7
2015,11,Cal Poly Pier,1.96,14.3
2015,11,Newport Pier,0.59,17.6
2015,11,Scripps Pier,1.24,17.8
2015,11,Santa Monica Pier,NaN,16
2015,12,Santa Cruz Wharf,1.69,12.2
2015,12,Monterey Wharf,4.71,14.39
2015,12,Santa Monica Pier,NaN,16
2015,12,Stearns Wharf,1.19,17.4
2015,12,Newport Pier,0.78,17.8
2015,12,Cal Poly Pier,1.58,16
2015,12,Cal Poly Pier,1.58,16
2015,12,Scripps Pier,0.9,18.5
2015,12,Monterey Wharf,3.5,15.11
2015,12,Santa Cruz Wharf,1.14,14.1
2015,12,Newport Pier,2.54,15.9
2015,12,Stearns Wharf,0.84,16.6
2015,12,Cal Poly Pier,1.33,15.1
2015,12,Santa Monica Pier,NaN,14.2
2015,12,Scripps Pier,0.96,17.4
2015,12,Santa Cruz Wharf,1.09,11.8
2015,12,Santa Monica Pier,NaN,NaN
2015,12,Stearns Wharf,1.32,16
2015,12,Newport Pier,1.83,15.9
2015,12,Scripps Pier,0.83,17
2015,12,Cal Poly Pier,1.58,14.7
2015,12,Cal Poly Pier,1.58,14.7
2015,12,Monterey Wharf,5.66,14.25
2015,12,Scripps Pier,1.45,15.8
2015,12,Santa Monica Pier,NaN,14
2015,12,Cal Poly Pier,1.77,13.8
2015,12,Stearns Wharf,2.32,13.9
2016,1,Santa Monica Pier,NaN,14
2016,1,Stearns Wharf,3.32,14.5
2016,1,Newport Pier,3,15.7
2016,1,Scripps Pier,3.59,15.7
2016,1,Cal Poly Pier,4.4,14.8
2016,1,Cal Poly Pier,4.4,14.8
2016,1,Santa Cruz Wharf,1.58,11.7
2016,1,Stearns Wharf,1.39,14.4
2016,1,Newport Pier,4.1,15.1
2016,1,Scripps Pier,1.41,15.8
2016,1,Santa Monica Pier,NaN,13
2016,1,Cal Poly Pier,0.94,12
2016,1,Cal Poly Pier,0.94,12
2016,1,Monterey Wharf,3.4,14.2
2016,1,Santa Cruz Wharf,0.62,14.8
2016,1,Santa Monica Pier,NaN,14
2016,1,Stearns Wharf,1.95,15.1
2016,1,Scripps Pier,2.38,15.8
2016,1,Cal Poly Pier,1.43,13.8
2016,1,Newport Pier,3.11,15.5
2016,1,Monterey Wharf,3.24,13.9
2016,1,Santa Cruz Wharf,0.74,14.1
2016,1,Santa Monica Pier,NaN,14.1
2016,1,Stearns Wharf,2.59,14.9
2016,1,Newport Pier,2.09,15.5
2016,1,Scripps Pier,1.55,15.8
2016,1,Cal Poly Pier,1.33,13.7
2016,1,Monterey Wharf,5.01,13.5
2016,1,Santa Cruz Wharf,0.77,13.4
2016,2,Santa Monica Pier,NaN,12.8
2016,2,Stearns Wharf,0.66,13.6
2016,2,Cal Poly Pier,0.77,12.1
2016,2,Newport Pier,3.11,12.9
2016,2,Scripps Pier,2.4,14.8
2016,2,Monterey Wharf,7.04,13.3
2016,2,Santa Cruz Wharf,0.62,11.4
2016,2,Santa Monica Pier,NaN,13.5
2016,2,Stearns Wharf,1.59,NaN
2016,2,Newport Pier,2.61,15.1
2016,2,Cal Poly Pier,2.22,11.8
2016,2,Santa Cruz Wharf,1.39,12.6
2016,2,Monterey Wharf,8.99,13
2016,2,Santa Monica Pier,NaN,15.4
2016,2,Newport Pier,1.41,17.8
2016,2,Stearns Wharf,0.46,NaN
2016,2,Santa Cruz Wharf,2.07,13.6
2016,2,Monterey Wharf,3.71,13.6
2016,2,Cal Poly Pier,1.8,12.7
2016,2,Santa Monica Pier,NaN,16
2016,2,Stearns Wharf,1.17,15.6
2016,2,Newport Pier,1.78,17.4
2016,2,Cal Poly Pier,1.83,12.5
2016,2,Monterey Wharf,3.9,14
2016,2,Santa Cruz Wharf,2.34,13.5
2016,2,Santa Monica Pier,NaN,15.8
2016,2,Stearns Wharf,1.12,17
2016,2,Newport Pier,1.69,17.3
2016,3,Cal Poly Pier,2,14.4
2016,3,Monterey Wharf,6.63,13.9
2016,3,Santa Cruz Wharf,1.93,13.3
2016,3,Santa Monica Pier,NaN,13.5
2016,3,Stearns Wharf,0.5,15
2016,3,Cal Poly Pier,1.35,NaN
2016,3,Newport Pier,3.48,15.8
2016,3,Monterey Wharf,11.18,14.5
2016,3,Santa Cruz Wharf,1.15,13.9
2016,3,Santa Monica Pier,NaN,15
2016,3,Stearns Wharf,0.67,14.1
